sheet,cell,row,col,formula_a1,formula_r1c1,value_if_any
RESUMEN,G14,14,7,"=IF((IFERROR(D14/F14,0))=0,0,(IFERROR(D14/F14,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D14/F14,0))=0,0,(IFERROR(D14/F14,0)-1))"
RESUMEN,H14,14,8,"=IF((IFERROR(D14/E14,0))=0,0,(IFERROR(D14/E14,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D14/E14,0))=0,0,(IFERROR(D14/E14,0)-1))"
RESUMEN,D15,15,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B15,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B15,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E15,15,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B15,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B15,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G15,15,7,"=IF((IFERROR(D15/F15,0))=0,0,(IFERROR(D15/F15,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D15/F15,0))=0,0,(IFERROR(D15/F15,0)-1))"
RESUMEN,H15,15,8,"=IF((IFERROR(D15/E15,0))=0,0,(IFERROR(D15/E15,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D15/E15,0))=0,0,(IFERROR(D15/E15,0)-1))"
RESUMEN,D16,16,4,=D17+D20+D22+D24+D27+D30+D31,=R[1]C+R[4]C+R[6]C+R[8]C+R[11]C+R[14]C+R[15]C,=D17+D20+D22+D24+D27+D30+D31
RESUMEN,E16,16,5,=E17+E20+E22+E24+E27+E30+E31,=R[1]C+R[4]C+R[6]C+R[8]C+R[11]C+R[14]C+R[15]C,=E17+E20+E22+E24+E27+E30+E31
RESUMEN,F16,16,6,=F17+F20+F22+F24+F27+F30+F31,=R[1]C+R[4]C+R[6]C+R[8]C+R[11]C+R[14]C+R[15]C,=F17+F20+F22+F24+F27+F30+F31
RESUMEN,G16,16,7,"=IF((IFERROR(D16/F16,0))=0,0,(IFERROR(D16/F16,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D16/F16,0))=0,0,(IFERROR(D16/F16,0)-1))"
RESUMEN,H16,16,8,"=IF((IFERROR(D16/E16,0))=0,0,(IFERROR(D16/E16,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D16/E16,0))=0,0,(IFERROR(D16/E16,0)-1))"
RESUMEN,D17,17,4,=D18+D19,=R[1]C+R[2]C,=D18+D19
RESUMEN,E17,17,5,=E18+E19,=R[1]C+R[2]C,=E18+E19
RESUMEN,F17,17,6,=F18+F19,=R[1]C+R[2]C,=F18+F19
RESUMEN,G17,17,7,"=IF((IFERROR(D17/F17,0))=0,0,(IFERROR(D17/F17,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D17/F17,0))=0,0,(IFERROR(D17/F17,0)-1))"
RESUMEN,H17,17,8,"=IF((IFERROR(D17/E17,0))=0,0,(IFERROR(D17/E17,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D17/E17,0))=0,0,(IFERROR(D17/E17,0)-1))"
RESUMEN,D18,18,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B18,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B18,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E18,18,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B18,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B18,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G18,18,7,"=IF((IFERROR(D18/F18,0))=0,0,(IFERROR(D18/F18,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D18/F18,0))=0,0,(IFERROR(D18/F18,0)-1))"
RESUMEN,H18,18,8,"=IF((IFERROR(D18/E18,0))=0,0,(IFERROR(D18/E18,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D18/E18,0))=0,0,(IFERROR(D18/E18,0)-1))"
RESUMEN,D19,19,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B19,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B19,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E19,19,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B19,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B19,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G19,19,7,"=IF((IFERROR(D19/F19,0))=0,0,(IFERROR(D19/F19,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D19/F19,0))=0,0,(IFERROR(D19/F19,0)-1))"
RESUMEN,H19,19,8,"=IF((IFERROR(D19/E19,0))=0,0,(IFERROR(D19/E19,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D19/E19,0))=0,0,(IFERROR(D19/E19,0)-1))"
RESUMEN,D20,20,4,=D21,=R[1]C,=D21
RESUMEN,E20,20,5,=E21,=R[1]C,=E21
RESUMEN,F20,20,6,=F21,=R[1]C,=F21
RESUMEN,G20,20,7,"=IF((IFERROR(D20/F20,0))=0,0,(IFERROR(D20/F20,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D20/F20,0))=0,0,(IFERROR(D20/F20,0)-1))"
RESUMEN,H20,20,8,"=IF((IFERROR(D20/E20,0))=0,0,(IFERROR(D20/E20,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D20/E20,0))=0,0,(IFERROR(D20/E20,0)-1))"
RESUMEN,D21,21,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B21,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B21,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E21,21,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B21,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B21,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G21,21,7,"=IF((IFERROR(D21/F21,0))=0,0,(IFERROR(D21/F21,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D21/F21,0))=0,0,(IFERROR(D21/F21,0)-1))"
RESUMEN,H21,21,8,"=IF((IFERROR(D21/E21,0))=0,0,(IFERROR(D21/E21,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D21/E21,0))=0,0,(IFERROR(D21/E21,0)-1))"
RESUMEN,D22,22,4,=D23,=R[1]C,=D23
RESUMEN,E22,22,5,=E23,=R[1]C,=E23
RESUMEN,F22,22,6,=F23,=R[1]C,=F23
RESUMEN,G22,22,7,"=IF((IFERROR(D22/F22,0))=0,0,(IFERROR(D22/F22,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D22/F22,0))=0,0,(IFERROR(D22/F22,0)-1))"
RESUMEN,H22,22,8,"=IF((IFERROR(D22/E22,0))=0,0,(IFERROR(D22/E22,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D22/E22,0))=0,0,(IFERROR(D22/E22,0)-1))"
RESUMEN,D23,23,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B23,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B23,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E23,23,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B23,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B23,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G23,23,7,"=IF((IFERROR(D23/F23,0))=0,0,(IFERROR(D23/F23,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D23/F23,0))=0,0,(IFERROR(D23/F23,0)-1))"
RESUMEN,H23,23,8,"=IF((IFERROR(D23/E23,0))=0,0,(IFERROR(D23/E23,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D23/E23,0))=0,0,(IFERROR(D23/E23,0)-1))"
RESUMEN,D24,24,4,=D25+D26,=R[1]C+R[2]C,=D25+D26
RESUMEN,E24,24,5,=E25+E26,=R[1]C+R[2]C,=E25+E26
RESUMEN,F24,24,6,=F25+F26,=R[1]C+R[2]C,=F25+F26
RESUMEN,G24,24,7,"=IF((IFERROR(D24/F24,0))=0,0,(IFERROR(D24/F24,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D24/F24,0))=0,0,(IFERROR(D24/F24,0)-1))"
RESUMEN,H24,24,8,"=IF((IFERROR(D24/E24,0))=0,0,(IFERROR(D24/E24,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D24/E24,0))=0,0,(IFERROR(D24/E24,0)-1))"
RESUMEN,D25,25,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B25,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B25,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E25,25,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B25,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B25,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G25,25,7,"=IF((IFERROR(D25/F25,0))=0,0,(IFERROR(D25/F25,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D25/F25,0))=0,0,(IFERROR(D25/F25,0)-1))"
